cl hl sl el mrsc
A_1 A_1 Agam_1 come_1 _come_v_1
Aba_1 Aba_1 - lustre_1 _lustre/NN_u_unknown
ABA_1 ABA_1 - lustre_2 _lustre/NN_u_unknown
aba_1 aba_1 - now_3 _now_a_1
Aba_2 Aba_2 - brilliance_1 _brilliance_n_1
ABA_2 ABA_2 - splendour_1 _splendour/NN_u_unknown
ABA_3 ABA_3 - tint_1 _tint_n_of
Aba_3 Aba_3 - water_2 _water_n_1
ABA_4 ABA_4 - tinge_1 _tinge_n_1
abAbIla_1 abAbIla_1 - swallow_1 _swallow_n_1
aBAgA_1 aBAgA_1 - unfortunate_1 _unfortunate_a_1
aBAgA_2 aBAgA_2 - accursed_1 _accursed/VBN_u_unknown
aBAgA_3 aBAgA_3 - unlucky_1 _unlucky_a_1
aBAgina_1 aBAgina_1 - accursed_2 _accursed/VBN_u_unknown
aBAgya_1 aBAgya_1 - misfortune_3 _misfortune_n_1
AbahavA_1 AbahavA_1 - climate_1 _climate_n_1
AbakArI_2 AbakArI_1 - excise_1 _excise/NN_u_unknown
aBakRya_1 aBakRya_1 aBakRya_1 uneatable_2 _uneatable/JJ_u_unknown
aBakRya_2 aBakRya_2 - inedible_2 _inedible/JJ_u_unknown
ABAmaNdala_1 ABAmaNdala_1 - halo_4 _halo_n_1
aBaMga_1 aBaMga_1 - unbroken_5 _unbroken_a_1
aBaMga_2 aBaMga_2 - unimpaired_4 _unimpaired_a_1
AbaMtana_1 AbaMtana_1 - allotment_3 _allotment_n_1
AbanUsa_1 AbanUsa_1 - ebony_1 _ebony/NN_u_unknown
AbapASI_1 AbapASI_1 - irrigation_1 _irrigation_n_1
AbapASI_2 AbapASI_2 - watering_1 _water_v_1
ABAra_1 ABAra_1 - obligation_2 _obligation_n_1
ABAra_2 ABAra_2 - gratitude_1 _gratitude/NN_u_unknown
ABAra_3 ABAra_3 - indebtedness_1 _indebtedness/NN_u_unknown
ABAra_4 ABAra_4 - burden_1 _burden_n_1
abaraka_1 abaraka_1 - mica_1 _mica_n_1
aBaraka_1 aBaraka_1 - mica_2 _mica_n_1
ABaraNa_1 ABaraNa_1 ABaraNa_1 ornament_3 _ornament_n_1
ABaraNa_2 ABaraNa_2 ABaraNa_2 decoration_1 _decoration_n_of
ABArI_1 ABArI_1 - obliged_2 _obliged_a_1
ABArI_2 ABArI_2 - grateful_2 _grateful_a_1
ABArI_3 ABArI_3 - indebted_1 _indebted_a_1
AbarU_1 AbarU_1 - honour_2 _honor_n_1
AbarU_2 AbarU_2 - chastity_2 _chastity_n_1
ABAsa_1 ABAsa_1 ABAsa_2 inkling_1 _inkling/NN_u_unknown
