cl	hl	el
somavAra_1	somavAra_1	Monday
caMxravAra_1	caMxravAra_1	Monday
soma_1	soma_1	Monday
maMgalavAra_1	maMgalavAra_1	Tuesday
maMgala_1	maMgala_1	Tuesday
maMgalavAsara_1	maMgalavAsara_1	Tuesday
buXavAra_1	buXavAra_1	Wednesday
buXa_1	buXa_1	Wednesday
buGa_1	buGa_1	Wednesday
bqhaspawwi_1	bqhaspawwi_1	Thursday
bqhaspawivAra_1	bqhaspawivAra_1	Thursday
guruvAra_1	guruvAra_1	Thursday
gurUvAra_1	gurUvAra_1	Thursday
SukravAra_1	SukravAra_1	Friday
Sukra_1	Sukra_1	Friday
jumA_1	jumA_1	Friday
jumerAwa_1	jumerAwa_1	Friday
jummA_1	jummA_1	Friday
SanivAra_1	SanivAra_1	Saturday
sanIcara_1	sanIcara_1	Saturday
ravivAra_1	ravivAra_1	Sunday
ravixina_1	ravixina_1	Sunday
iwavAra_1	iwavAra_1	Sunday
