word,term,number,gender,person,anim,spkview_data,relation
I,speaker,s,m/f/null,u,anim,0,k1
we,speaker,p,m/f/null,u,anim,0,k1
you,addressee,s/p,m/f,m,anim,informal/respect,k1
he,wyax,s,m,a,anim,proximal/distal,k1
she,wyax,s,f,a,anim,proximal/distal,k1
it,wyax,s,null,a,null,proximal/distal,k1
they,wyax,p,m/f,a,anim/inanim,proximal/distal,k1
me,speaker,s,m/f,u,anim,0,k2
us,speaker,p,m/f,u,anim,0,k2
him,wyax,s,m,a,anim,proximal/distal,k2
her,wyax,s,f,a,anim,proximal/distal,k2/r6
them,wyax,p,m/f,a,anim,proximal/distal,k2
its,wyax,s,null,a,null,proximal/distal,r6
his,wyax,s,m,a,anim,proximal/distal,r6
their,wyax,p,m/f,a,anim,proximal/distal,r6
my,speaker,s,m/f,u,anim,0,r6
our,speaker,p,m/f,u,anim,0,r6
your,addressee,s/p,m/f/null,m,anim,0,r6
their,wyax,p,m/f,a,anim,distal,r6
own,apanA,s,m/f,u,null,null,r6
own,apanA,p,m/f,u,null,null,r6
own,apanA,s,m/f,m,null,null,r6
own,apanA,p,m/f,m,null,null,r6
own,apanA,s,m,a,null,null,r6
own,apanA,s,f,a,null,null,r6
own,apanA,s,0,a,null,null,r6
own,apanA,p,m/f,a,null,null,r6
this,wyax,s,m/f/null,a,null,proximal,dem/k1/k2/k7
that,wyax,s,m/f/null,a,null,distal,dem/k1/k2
these,wyax,p,m/f/null,a,null,proximal,dem/k2
those,wyax,p,m/f/null,a,null,distal,dem/k2
here,wyax,0,0,0,null,proximal,k7p/k7/k5
there,wyax,0,0,0,null,distal,k7p/k7/k5
myself,Kuxa,s,m/f,u,anim,0,k2
ourselves,Kuxa,p,m/f,u,anim,0,k2
yourself,Kuxa,s,m/f,m,anim,informal/respect,k2
himself,Kuxa,s,m,a,anim,informal/respect/null,k2
herself,Kuxa,s,f,a,anim,informal/respect/null,k2
itself,Kuxa,s,m/f,a,anim,null,k2
themselves,Kuxa,p,m/f,a,anim,proximal/distal,k2


