datacase,value,cond
k7t,at,
k3,with,
"k5, k5prk",from,
k7,on,
k7p,in,
k7a,according to,
k2p,to,
rblak,after,
rt,for,
rblpk,before,
rn,among,
rd,towards,
rp,through,
"rask1,rask2,rask3,rask4,rask5,rask7,k1as,k2as,k3as,k4as,k5as,k7as",along with,
r6,of,
quantless,less than,
quantmore,more than,
rkl,after,
rh,because of,
rasneg,without,
rv,than,
"k4,k4a",to,
ru,like,
k2s,as,
rkrl,after,
krvnneg,without,
rviroXIk1,opposite to,
rprop,as,
rask6,along with,
re,such as,
rs,known as,
rad,,
freq,,
dur,within,
vkvn,,
